,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
377,37.0,4,91.0,68.0,2025,18.2,82,Japan,mazda glc custom l
378,31.0,4,91.0,68.0,1970,17.6,82,Japan,mazda glc custom
379,38.0,4,105.0,63.0,2125,14.7,82,USA,plymouth horizon miser
380,36.0,4,98.0,70.0,2125,17.3,82,USA,mercury lynx l
381,36.0,4,120.0,88.0,2160,14.5,82,Japan,nissan stanza xe
382,36.0,4,107.0,75.0,2205,14.5,82,Japan,honda accord
383,34.0,4,108.0,70.0,2245,16.9,82,Japan,toyota corolla
384,38.0,4,91.0,67.0,1965,15.0,82,Japan,honda civic
385,32.0,4,91.0,67.0,1965,15.7,82,Japan,honda civic (auto)
386,38.0,4,91.0,67.0,1995,16.2,82,Japan,datsun 310 gx
387,25.0,6,181.0,110.0,2945,16.4,82,USA,buick century limited
388,38.0,6,262.0,85.0,3015,17.0,82,USA,oldsmobile cutlass ciera (diesel)
389,26.0,4,156.0,92.0,2585,14.5,82,USA,chrysler lebaron medallion
390,22.0,6,232.0,112.0,2835,14.7,82,USA,ford granada l
391,32.0,4,144.0,96.0,2665,13.9,82,Japan,toyota celica gt
392,36.0,4,135.0,84.0,2370,13.0,82,USA,dodge charger 2.2
393,27.0,4,151.0,90.0,2950,17.3,82,USA,chevrolet camaro
394,27.0,4,140.0,86.0,2790,15.6,82,USA,ford mustang gl
395,44.0,4,97.0,52.0,2130,24.6,82,Europe,vw pickup
396,32.0,4,135.0,84.0,2295,11.6,82,USA,dodge rampage
397,28.0,4,120.0,79.0,2625,18.6,82,USA,ford ranger
398,31.0,4,119.0,82.0,2720,19.4,82,USA,chevy s-10
